Unnamed: 0,Date,User,Tweet
31,2019-03-13 05:30:30+00:00,narendramodi,"my fellow indians 

urging you all to strengthen voter awareness efforts across india 

let us all ensure maximum number of indians come out to vote in the  lok sabha elections"
32,2019-03-13 05:25:00+00:00,narendramodi,"dear mathrubhumieng dinathanthi and eenadu 

you have worked to give voice to peoples aspirations

increased voter awareness is key to a strong democracy 

i appeal to you to motivate people to vote in large numbers"
33,2019-03-13 05:15:53+00:00,narendramodi,"urging srbachchan iamsrk and karanjohar to creatively ensure high voter awareness and participation in the coming elections 

becauseits all about loving your democracy and strengthening it "
34,2019-03-13 05:14:38+00:00,narendramodi,"voting is not only a right but its also a duty 

dear beingsalmankhan and aamirkhan 

it is time to inspire and motivate youth in your own andaz to vote so that we can strengthen apna democracy amp apna country"
35,2019-03-13 05:13:48+00:00,narendramodi,"dear akshaykumar bhumipednekar and ayushmannk 

the power of a vote is immense and we all need to improve awareness on its importance 

thoda dum lagaiye aur voting ko ek superhit katha banaiye"
36,2019-03-13 05:12:51+00:00,narendramodi,i call upon veterans of the media world rajatsharmalive subhashchandra and vineetjaintimes to take the lead in highlighting the need to vote in large numbers doing so would ensure greater participation in democratic processes and strengthen our nations development
37,2019-03-13 05:12:14+00:00,narendramodi,"dear msdhoni imvkohli and imro 
you are always setting outstanding records on the cricketing field but this time do inspire the  crore people of india to set a new record of high voter turnout in the upcoming elections 
when this happens democracy will be the winner"
38,2019-03-13 05:10:06+00:00,narendramodi,"dear anilkumble vvslaxman and virendersehwag  your heroic deeds on the cricket pitch have inspired millions 

come it is time to inspire people once again this time to vote in record numbers"
39,2019-03-13 05:09:20+00:00,narendramodi,"i appeal to rubikaliyaquat anjanaomkashyap sudhirchaudhary rahulkanwal and the team of republic to spread awareness on voter registration and why every indian particularly the youth should vote 

your support can ensure more people exercise their franchise"
40,2019-03-13 05:08:27+00:00,narendramodi,"dear bajrangpunia shankarlive and bajpayeemanoj 

your talent and skill has entertained millions and made india proud 

your voice is respected widely 

please lend strength to our democracy by increasing voter awareness and inspiring people to vote"
41,2019-03-13 05:04:37+00:00,narendramodi,"requesting deepikapadukone aliaa and anushkasharma to urge people to vote in large numbers for the coming elections 

as renowned film personalities whose work is admired by many i am sure their message will have a positive impact on our citizens"
42,2019-03-13 05:01:03+00:00,narendramodi,"respected citiznmukherjee 
being among indias most prolific statesmen and someone who has been active in politics for decades you would understand the power of a vote i request you to appeal to the people to enrich the festival of democracy by participating in large numbers"
43,2019-03-13 05:00:10+00:00,narendramodi,"when mangeshkarlata didi sachinrt and arrahman say something the nation takes note

i humbly request these remarkable personalities to inspire more citizens to come out and vote in the  elections 

a vote is a great way to make the peoples voice heard"
44,2019-03-13 04:54:39+00:00,narendramodi,"dear sarbanandsonwal himantabiswa sangmaconrad and neiphiurio  

i request you to work towards increasing vote awareness in the northeast 

a vote is a powerful way for people to express and become active participants in indias growth trajectory"
45,2019-03-13 04:47:59+00:00,narendramodi,"my young friends ranveerofficial varundvn amp vickykaushal 

many youngsters admire you 

it is time to tell them apna time aa gaya hai and that it is time to turn up with high josh to a voting centre near you"
46,2019-03-13 04:42:38+00:00,narendramodi,"dear rntata anandmahindra and ashishchauhan 

india wins when our democracy gets strengthened 

ensuring maximum participation in voting is the perfect way to strengthen democracy 

can we all make this happen"
47,2019-03-13 04:41:04+00:00,narendramodi,"dear srikidambi pvsindhu amp nsaina 

the core of badminton is the court and the core of democracy is the vote 

just like you smash records do also inspire a recordbreaking voter turnout i request you to increase voter awareness amp motivate youth to vote in large numbers"
48,2019-03-13 04:39:37+00:00,narendramodi,"india is proud of neerajchopra duttyogi and wrestlersushil 
however they made india win because they participated i request neeraj yogeshwar and sushil to encourage people to participate in the elections and vote so that india wins here too"
49,2019-03-13 04:36:50+00:00,narendramodi,"dear ksatyarthi thekiranbedi and sudarsansand 

a vote gives voice to peoples aspirations 

as widely respected personalities your efforts towards increasing voter awareness will strengthen indias democracy 

i request you to lend your voice for the same"
50,2019-03-13 04:35:54+00:00,narendramodi,"dear mohanlal and iamnagarjuna 

your performances have entertained millions over the years and you have also won many awards i request you to create greater voter awareness and urge people to vote in large numbers

the award here is a vibrant democracy"
51,2019-03-13 04:34:34+00:00,narendramodi,"dear harsimratbadal  ichiragpaswan and authackeray increasing awareness among the youth on the importance of voting is a paramount task in front of us 

urging you to do your best to ensure high public participation in the upcoming elections"
52,2019-03-13 04:33:34+00:00,narendramodi,"dear nitishkumar irvpaswan and pawanchamling soliciting your support and active participation in improving voting across the country in the coming elections 

let us strive to create an atmosphere where maximum voting can take place"
53,2019-03-13 04:30:25+00:00,narendramodi,i call upon kcr garu naveenodisha hdkumaraswamy ncbn and ysjagan to work towards bringing maximum indians to the polling booths in the upcoming elections may voter awareness efforts be strengthened across the length and breadth of india
54,2019-03-10 12:38:04+00:00,narendramodi,"wishing all political parties and candidates the very best for the  lok sabha elections 

we may belong to different parties but our aim must be the same the development of india and empowerment of every indian"
55,2019-03-10 12:33:51+00:00,narendramodi,best wishes to the election commission all those officials and security personnel who will be on the field across the length and breadth of india assuring smooth elections india is very proud of the ec for assiduously organising elections for several years
56,2019-03-10 12:33:09+00:00,narendramodi,"the festival of democracy elections are here 

i urge my fellow indians to enrich the  lok sabha elections with their active participation i hope this election witnesses a historic turnout 

i particularly call upon first time voters to vote in record numbers"
57,2019-02-24 12:03:26+00:00,narendramodi,"enrich the programme on th by

mobilising family amp friends to join

filling peoples pulse survey and giving ground level feedback from your constituency 

donate to bjp boost morale of karyakartas 

share thoughts on namo app or social media using meraboothsabsemazboot"
58,2019-02-14 03:51:06+00:00,narendramodi,greetings to sushmaswaraj ji on her birthday sushma ji is one of the most remarkable leaders of our nation she has distinguished herself as an outstanding minister and her oratory is par excellence her role in strengthening bjp is key praying for her long and healthy life
59,2019-02-12 12:53:21+00:00,narendramodi,"i am really happy to see bjpindia leaders and karyakartas strengthen the meraparivarbhajapaparivar movement across india 

it is wonderful to see the bjp endearing itself to all sections of society and being at the forefront of raising issues of public welfare"
60,2019-02-09 12:23:13+00:00,narendramodi,"during congress rule the headlines from the northeast indicated sheer neglect and apathy the headlines now reflect positivity and development 

congress has zero respect for assams culture they had no will to implement important parts of the assam accord"
61,2019-02-08 01:57:45+00:00,narendramodi,"in the afternoon i will address a public meeting in mainaguri 

during my recent visits to west bengal i have been seeing the massive support for bjp 

the people of west bengal realise that only bjp can fulfil their dreams and aspirations bjpbengal"
62,2019-01-31 11:15:16+00:00,narendramodi,i thank the people of jind for blessing bjpharyana this is a seat where the party has never won before glad to see the development agenda of bjp finding support among all sections of society i congratulate the haryana bjp and cm mlkhattar for assiduously serving the people
63,2019-01-25 06:31:18+00:00,narendramodi,i urge people from all walks of life to create awareness on voter registration and especially request my young friends to register themselves as voters if they have not done so already every vote cast enhances our democratic fabric
64,2019-01-19 16:41:47+00:00,narendramodi,"they got together in kolkata with no agenda but to stop bjp

they talk of democracy in a state where the ruling party does not even allow local elections democratically 

 crore indians are watching their games with great amusement 

india will give them a befitting reply"
