Unnamed: 0,Date,User,Tweet
34,2019-03-08 05:45:02+00:00,RahulGandhi,while saluting the undaunted fighting spirit of women this internationalwomensday i would also like us to recommit ourselves to breaking the barriers that continue to hinder their path to freedom amp equality in doing so a better brighter braver world awaits us
35,2019-03-06 13:47:59+00:00,RahulGandhi,"there is now enough evidence to prosecute the pm in the rafalescam 

the trail of corruption begins amp ends with him 

that crucial rafale files incriminating him are now reported stolen by the govt is destruction of evidence amp an obvious coverup 

firagainstcorruptmodi"
36,2019-03-01 16:03:50+00:00,RahulGandhi, wing cdr abhinandan your dignity poise and bravery made us all proud welcome back and much love 
37,2019-02-27 11:55:21+00:00,RahulGandhi, im sorry to hear that one of our brave iaf pilots is missing i hope he will return home soon unharmed we stand by our armed forces in these difficult times 
38,2019-02-26 04:05:27+00:00,RahulGandhi, i salute the pilots of the iaf 
39,2019-02-24 09:47:54+00:00,RahulGandhi,"the apathy amp incompetence of the assam govt has resulted in the tragic deaths of over  people with scores of victims in hospital poisoned by toxic alcohol 

my condolences to the families of those who have died i also pray that those in hospital make a speedy recovery"
40,2019-02-23 17:21:55+00:00,RahulGandhi,im sorry to hear about the death of an innocent youth in police firing in itanagar arunachal pradesh in which many others have also been injured my condolences to the family of the young man i pray that the injured make a speedy recovery amp that peace returns to arunachal
41,2019-02-18 03:19:12+00:00,RahulGandhi,the brutal murder of two members of our youth congress family in kasargod kerala is shocking the congress party stands in solidarity with the families of these two young men amp i send them my deepest condolences we will not rest till the murderers are brought to justice
42,2019-02-14 12:39:53+00:00,RahulGandhi,im deeply disturbed by the cowardly attack on a crpf convoy in jampk in which many of our brave crpf men have been martyred and a large number wounded some critically my condolences to the families of our martyrs i pray for the speedy recovery of the injured
43,2019-02-12 05:11:45+00:00,RahulGandhi,"dear students amp the youth of india 

everyday there are new revelations about rafale that make it clear that the pm helped his friend anil ambani steal  cr of your money

watch my press conference live at  am today on the rafalescam"
44,2019-02-08 04:52:11+00:00,RahulGandhi,"brothers amp sisters in the armed forces 

you are our defenders you sacrifice your lives for india you are our pride 

please watch my live press conference today at am

rafalescam"
45,2019-02-03 17:54:28+00:00,RahulGandhi,"i spoke with mamata di tonight and told her we stand shoulder to shoulder with her 

the happenings in bengal are a part of the unrelenting attack on indias institutions by mr modi amp the bjp 

the entire opposition will stand together amp defeat these fascist forces"
46,2019-02-01 09:28:45+00:00,RahulGandhi,"dear nomo

 years of your incompetence and arrogance has destroyed the lives of our farmers 

giving them rs  a day is an insult to everything they stand and work for 

aakhrijumlabudget"
47,2019-01-29 06:01:43+00:00,RahulGandhi,"im sorry to hear about the passing of former parliamentarian amp union minister george fernandes ji 

my condolences to his family and friends in this time of grief"
48,2019-01-28 11:57:03+00:00,RahulGandhi,"we cannot build a new india while millions of our brothers amp sisters suffer the scourge of poverty 

if voted to power in  the congress is committed to a minimum income guarantee for every poor person to help eradicate poverty amp hunger 

this is our vision amp our promise"
49,2019-01-25 16:21:09+00:00,RahulGandhi,im happy that shri bhupen hazarika and nanaji deshmukh have been honoured posthumously with the bharat ratna
50,2019-01-25 16:16:49+00:00,RahulGandhi,"congratulations to pranab da on being awarded the bharat ratna 

the congress party takes great pride in the fact that the immense contribution to public service amp nation building of one of our own  has been recognised amp honoured"
51,2019-01-25 08:32:27+00:00,RahulGandhi,i am disturbed by the growing violence amp unrest in the n east where religion amp ethnicity are being used as weapons by the bjp to polarise the region for political gain this type of politics that pitches brother against brother amp fans hatred is evil amp must be stopped
52,2019-01-23 12:04:54+00:00,RahulGandhi,up is central to building a new hope filled amp compassionate india the new up aicc team lead by priyanka amp jyotiraditya will herald the dawn of a new kind of politics in the state we will offer the youth in up a dynamic new platform to transform the state
53,2019-01-21 09:08:53+00:00,RahulGandhi,i am sorry to hear about the passing of shivakumar swami ji pontiff of the siddaganga mutt swami ji was respected amp revered by millions of indians from all religions amp communities his passing leaves behind a deep spiritual void my condolences to all his followers
54,2019-01-16 12:43:57+00:00,RahulGandhi,im upset to hear arun jaitley ji is not well we fight him on a daily basis for his ideas however i and the congress party send him our love and best wishes for a speedy recovery we are with you and your family  during this difficult period mr jaitley
55,2019-01-15 04:53:30+00:00,RahulGandhi,"i wish you all a very happy pongal

 happypongal"
56,2019-01-14 16:56:48+00:00,RahulGandhi,my condolences to the family of veteran congress leader shri shivajirao deshmukh ji who passed away earlier today a former minister amp chairman of the maharashtra legislative council in deshmukh jis death the congress family has lost a loyal amp highly respected member
57,2019-01-10 17:15:44+00:00,RahulGandhi,"fear is now rampaging through mr modis mind he cant sleep he stole cr from the iaf and gave it to anil ambani sacking the cbi chief alokverma twice in a row clearly shows that he is now a prisoner of his own lies

satyamev jayate"
58,2019-01-10 06:20:45+00:00,RahulGandhi," why is the pm in such a tearing hurry to sack the cbi chief 

 why will he not allow the cbi chief to present his case in front of the selection committee  

answer rafale"
59,2019-01-09 15:29:53+00:00,RahulGandhi,"with all due respect modi ji in our culture respect for women begins at home  

stop shaking be a man and answer my question did the air force and defence ministry object when you bypassed the original rafale deal

yes or no 

rafalescam"
60,2019-01-08 10:02:46+00:00,RahulGandhi,"the truth of rafale will destroy mr modi its only a question of time before full evidence of his role in the theft of  cr becomes public 

congratulations to the sc for upholding the law

alokverma"
61,2019-01-03 06:41:57+00:00,RahulGandhi,"so it seems our pm has fled parliament amp his own open book rafale exam amp is instead lecturing students at lovely univ in punjab today 

i request the students there to respectfully ask him to please answer the  questions posed to him by me yesterday  

rafalescam"
62,2019-01-02 15:21:59+00:00,RahulGandhi,"tomorrow the pm faces an open book rafaledeal exam in parliament 

here are the exam questions in advance

q why  aircraft instead of the  the iaf needed

q why  cr instead of  cr per aircraft 

q why aa instead of hal

will he show up or send a proxy"
63,2019-01-01 02:55:42+00:00,RahulGandhi,i wish you all a happy new year
